time	open	high	low	close	tick_volume	spread	real_volume
2025.10.13 17:42	1.15621	1.15649	1.15620	1.15645	82	0	0
2025.10.13 17:43	1.15645	1.15646	1.15629	1.15640	58	0	0
2025.10.13 17:44	1.15640	1.15645	1.15636	1.15645	41	0	0
2025.10.13 17:45	1.15645	1.15655	1.15636	1.15638	59	0	0
2025.10.13 17:46	1.15638	1.15650	1.15637	1.15650	57	0	0
2025.10.13 17:47	1.15650	1.15652	1.15625	1.15625	112	0	0
2025.10.13 17:48	1.15625	1.15635	1.15623	1.15628	72	0	0
2025.10.13 17:49	1.15628	1.15654	1.15628	1.15654	90	0	0
2025.10.13 17:50	1.15654	1.15656	1.15638	1.15651	95	0	0
2025.10.13 17:51	1.15651	1.15651	1.15633	1.15634	48	0	0
2025.10.13 17:52	1.15634	1.15638	1.15624	1.15634	101	0	0
2025.10.13 17:53	1.15634	1.15640	1.15628	1.15635	75	0	0
2025.10.13 17:54	1.15635	1.15643	1.15609	1.15609	70	0	0
2025.10.13 17:55	1.15609	1.15609	1.15575	1.15593	115	0	0
2025.10.13 17:56	1.15593	1.15593	1.15575	1.15585	84	0	0
2025.10.13 17:57	1.15586	1.15603	1.15584	1.15595	114	0	0
2025.10.13 17:58	1.15594	1.15605	1.15593	1.15600	89	0	0
2025.10.13 17:59	1.15600	1.15615	1.15600	1.15612	92	0	0
2025.10.13 18:00	1.15612	1.15620	1.15611	1.15617	125	0	0
2025.10.13 18:01	1.15617	1.15630	1.15617	1.15627	112	0	0
2025.10.13 18:02	1.15626	1.15665	1.15625	1.15665	110	0	0
2025.10.13 18:03	1.15665	1.15676	1.15659	1.15675	104	0	0
2025.10.13 18:04	1.15675	1.15675	1.15664	1.15666	81	0	0
2025.10.13 18:05	1.15666	1.15666	1.15643	1.15654	119	0	0
2025.10.13 18:06	1.15654	1.15661	1.15635	1.15641	91	0	0
2025.10.13 18:07	1.15640	1.15644	1.15634	1.15635	80	0	0
2025.10.13 18:08	1.15634	1.15635	1.15614	1.15614	103	0	0
2025.10.13 18:09	1.15614	1.15627	1.15610	1.15624	98	0	0
2025.10.13 18:10	1.15624	1.15624	1.15609	1.15618	80	0	0
2025.10.13 18:11	1.15618	1.15635	1.15600	1.15635	76	0	0
2025.10.13 18:12	1.15635	1.15654	1.15627	1.15654	45	0	0
2025.10.13 18:13	1.15654	1.15659	1.15648	1.15655	40	0	0
2025.10.13 18:14	1.15655	1.15669	1.15645	1.15669	64	0	0
2025.10.13 18:15	1.15669	1.15683	1.15668	1.15674	70	1	0
2025.10.13 18:16	1.15675	1.15689	1.15675	1.15684	47	1	0
2025.10.13 18:17	1.15684	1.15686	1.15664	1.15682	74	0	0
2025.10.13 18:18	1.15682	1.15698	1.15682	1.15694	80	0	0
2025.10.13 18:19	1.15694	1.15695	1.15682	1.15692	44	0	0
2025.10.13 18:20	1.15694	1.15694	1.15678	1.15683	55	1	0
2025.10.13 18:21	1.15683	1.15695	1.15678	1.15689	45	0	0
