Time,Open,High,Low,Close,Volume,RSI,Laguerre_RSI,Laguerre_Signal,Adaptive_Period,ATR
2025.10.15 23:55:00,1.16458,1.16467,1.16456,1.16461,45,59.02319,,0,52.12121,0.00008
2025.10.15 23:56:00,1.16461,1.16470,1.16461,1.16469,24,64.08810,,0,54.06061,0.00008
2025.10.15 23:57:00,1.16469,1.16472,1.16466,1.16466,39,61.04110,,0,56.00000,0.00008
2025.10.15 23:58:00,1.16464,1.16468,1.16461,1.16467,16,61.69486,,0,54.72000,0.00008
2025.10.15 23:59:00,1.16467,1.16467,1.16452,1.16461,39,55.65974,,0,47.33333,0.00008
2025.10.16 00:05:00,1.16421,1.16421,1.16411,1.16411,3,29.63950,,0,24.00000,0.00010
2025.10.16 00:06:00,1.16423,1.16423,1.16423,1.16423,1,37.22451,,0,27.67213,0.00010
2025.10.16 00:07:00,1.16423,1.16426,1.16422,1.16424,5,37.82602,,0,36.06557,0.00009
2025.10.16 00:08:00,1.16424,1.16427,1.16420,1.16425,7,38.46103,,0,38.68852,0.00009
2025.10.16 00:09:00,1.16425,1.16425,1.16425,1.16425,1,38.46103,,0,41.83607,0.00009
2025.10.16 00:10:00,1.16429,1.16429,1.16421,1.16424,7,38.01078,,0,40.78689,0.00009
2025.10.16 00:11:00,1.16424,1.16424,1.16408,1.16423,15,37.53754,,0,35.01639,0.00009
2025.10.16 00:12:00,1.16422,1.16427,1.16422,1.16427,7,40.71698,,0,33.44262,0.00009
2025.10.16 00:13:00,1.16423,1.16423,1.16422,1.16422,2,38.10591,,0,33.96721,0.00009
2025.10.16 00:14:00,1.16422,1.16422,1.16422,1.16422,1,38.10591,,0,37.11475,0.00009
2025.10.16 00:15:00,1.16419,1.16430,1.16419,1.16428,3,43.17717,,0,32.91803,0.00009
2025.10.16 00:16:00,1.16428,1.16430,1.16420,1.16420,11,38.63212,,0,33.44262,0.00009
2025.10.16 00:17:00,1.16420,1.16426,1.16417,1.16419,14,38.09234,,0,36.59016,0.00009
2025.10.16 00:18:00,1.16419,1.16447,1.16417,1.16447,12,56.44350,,0,24.00000,0.00010
2025.10.16 00:19:00,1.16441,1.16451,1.16433,1.16451,7,58.34323,,0,24.00000,0.00010
2025.10.16 00:20:00,1.16451,1.16452,1.16447,1.16451,8,58.34323,,0,25.31507,0.00010
2025.10.16 00:21:00,1.16451,1.16451,1.16427,1.16431,5,46.56592,,0,24.00000,0.00011
2025.10.16 00:22:00,1.16431,1.16431,1.16431,1.16431,1,46.56592,,0,28.52174,0.00010
2025.10.16 00:23:00,1.16431,1.16431,1.16430,1.16431,3,46.56592,,0,29.56522,0.00010
2025.10.16 00:24:00,1.16431,1.16433,1.16431,1.16433,2,47.87998,,0,30.60870,0.00010
2025.10.16 00:25:00,1.16433,1.16433,1.16429,1.16429,3,45.47146,,0,34.43478,0.00010
2025.10.16 00:26:00,1.16429,1.16429,1.16429,1.16429,1,45.47146,,0,39.30435,0.00009
2025.10.16 00:27:00,1.16429,1.16429,1.16429,1.16429,1,45.47146,,0,41.04348,0.00009
2025.10.16 00:28:00,1.16429,1.16430,1.16428,1.16430,4,46.31469,,0,42.08696,0.00009
2025.10.16 00:29:00,1.16430,1.16430,1.16430,1.16430,1,46.31469,,0,43.82609,0.00009
2025.10.16 00:30:00,1.16431,1.16431,1.16429,1.16430,5,46.31469,,0,45.91304,0.00009
2025.10.16 00:31:00,1.16430,1.16430,1.16430,1.16430,1,46.31469,,0,50.08696,0.00009
2025.10.16 00:32:00,1.16430,1.16431,1.16430,1.16431,2,47.40858,,0,53.56522,0.00008
2025.10.16 00:33:00,1.16431,1.16436,1.16431,1.16436,7,52.60827,,0,54.95652,0.00008
2025.10.16 00:34:00,1.16436,1.16438,1.16429,1.16434,9,50.45921,,0,54.57778,0.00008
2025.10.16 00:35:00,1.16433,1.16438,1.16433,1.16437,9,53.52597,,0,55.64045,0.00008
2025.10.16 00:36:00,1.16438,1.16439,1.16429,1.16436,7,52.36238,,0,56.00000,0.00008
2025.10.16 00:37:00,1.16434,1.16438,1.16434,1.16438,5,54.49310,,0,56.00000,0.00007
2025.10.16 00:38:00,1.16437,1.16439,1.16436,1.16436,8,51.98889,,0,56.00000,0.00006
2025.10.16 00:39:00,1.16430,1.16438,1.16430,1.16436,8,51.98889,,0,55.13514,0.00006
2025.10.16 00:40:00,1.16432,1.16438,1.16432,1.16434,9,49.35826,,0,55.35135,0.00006
2025.10.16 00:41:00,1.16435,1.16438,1.16433,1.16436,16,51.97523,,0,54.27027,0.00006
2025.10.16 00:42:00,1.16435,1.16440,1.16433,1.16438,20,54.50697,,0,54.48649,0.00006
2025.10.16 00:43:00,1.16439,1.16440,1.16435,1.16437,19,53.00243,,0,56.00000,0.00006
2025.10.16 00:44:00,1.16437,1.16439,1.16431,1.16431,18,44.97996,,0,55.36842,0.00006
2025.10.16 00:45:00,1.16431,1.16433,1.16429,1.16429,10,42.66195,,0,55.57895,0.00006
2025.10.16 00:46:00,1.16429,1.16435,1.16427,1.16429,15,42.66195,,0,53.89474,0.00006
2025.10.16 00:47:00,1.16431,1.16433,1.16429,1.16430,12,44.32571,,0,55.36842,0.00006
2025.10.16 00:48:00,1.16432,1.16433,1.16429,1.16431,11,46.01275,,0,56.00000,0.00006
2025.10.16 00:49:00,1.16431,1.16439,1.16431,1.16435,12,52.24612,,0,56.00000,0.00006
2025.10.16 00:50:00,1.16435,1.16439,1.16435,1.16439,20,57.52724,,0,56.00000,0.00005
2025.10.16 00:51:00,1.16438,1.16438,1.16433,1.16436,6,52.81008,,0,56.00000,0.00005
2025.10.16 00:52:00,1.16436,1.16447,1.16434,1.16436,14,52.81008,,0,54.68041,0.00005
